"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000252597",0,NA,NA,NA,NA,NA
"ENSG00000167535",17.5965342464875,2.58108346789092,1.05534045442869,2.44573536156936,0.0144557062506755,0.189512397204939
"ENSG00000207649",0,NA,NA,NA,NA,NA
"ENSG00000188886",0,NA,NA,NA,NA,NA
"ENSG00000279716",3.72520969607317,0.642566949673647,1.52514575674213,0.421315108299049,0.673524999304936,NA
"ENSG00000188883",0,NA,NA,NA,NA,NA
"ENSG00000279717",0,NA,NA,NA,NA,NA
"ENSG00000241506",20.4669228363585,-0.00402023725172873,0.9703502577065,-0.00414307846038077,0.99669431111935,0.999838284898011
"ENSG00000241505",0,NA,NA,NA,NA,NA
"ENSG00000094796",0.206267474672764,0.808358522065789,1.35156465256271,0.598090901928411,0.549779280591825,NA
"ENSG00000279719",0,NA,NA,NA,NA,NA
"ENSG00000226453",0,NA,NA,NA,NA,NA
"ENSG00000237289",0.562248441059937,1.04049169950825,1.42689885997507,0.729197933150233,0.465880595333041,NA
"ENSG00000239739",0,NA,NA,NA,NA,NA
"ENSG00000237285",0,NA,NA,NA,NA,NA
"ENSG00000237286",0,NA,NA,NA,NA,NA
